ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
0,0.1146644,eye closed,19.24196,,,Not looking at Target
1,0.1146644,eye closed,10.33143,,,Not looking at Target
2,0.02,eye closed,11.515,,,Not looking at Target
3,0.01656797,eye closed,12.30323,,,Not looking at Target
4,0.01662122,13.72243,12.65856,,,Not looking at Target
5,0.01699532,13.73013,12.81332,,,Not looking at Target
6,0.01608396,13.51134,12.72746,,,Not looking at Target
7,0.01690521,13.51277,12.66983,,,Not looking at Target
8,0.01699088,13.55405,12.57234,,,Not looking at Target
9,0.01599999,13.55757,12.40733,,,Not looking at Target
10,0.0163717,13.20919,12.04371,,,Not looking at Target
11,0.01661439,13.10449,11.8587,,,Not looking at Target
12,0.01700488,12.53577,11.41249,,,Not looking at Target
13,0.01698542,12.08426,10.93677,,,Not looking at Target
14,0.01599112,11.60875,10.47467,,,Not looking at Target
15,0.01623585,17.33457,16.4927,,,Not looking at Target
16,0.01675809,18.8051,19.13004,,,Not looking at Target
17,0.0169943,18.27479,18.68126,,,Looking at Target
18,0.01599078,17.78721,18.02167,,,Looking at Target
19,0.01652394,17.07738,17.28007,,,Looking at Target
20,0.01656729,16.32479,16.56518,,,Looking at Target
21,0.01689292,15.38084,15.65243,,,Looking at Target
22,0.01623927,14.2462,14.6247,,,Looking at Target
23,0.01656763,13.28454,13.25836,,,Looking at Target
24,0.01718101,12.10708,11.61907,,,Looking at Target
25,0.01599248,11.23896,10.51421,,,Looking at Target
26,0.01699669,11.43306,10.20918,,,Looking at Target
27,0.01609557,14.30752,15.29649,,,Looking at Target
28,0.01656592,14.28989,14.63644,,,Looking at Target
29,0.01662805,13.46215,13.84195,,,Looking at Target
30,0.01668948,12.82963,13.24399,,,Looking at Target
31,0.01703218,12.29166,12.55646,,,Looking at Target
32,0.01595494,11.9221,12.16228,,,Looking at Target
33,0.01700761,11.46784,11.29466,,,Looking at Target
34,0.01608942,11.03895,10.68509,,,Looking at Target
35,0.01691101,10.62047,10.25707,,,Looking at Target
36,0.01622527,10.39905,9.923787,,,Looking at Target
37,0.01656319,10.1693,9.653861,,,Looking at Target
38,0.01717281,10.00654,9.505679,,,Looking at Target
39,0.01596074,9.974526,9.386614,,,Looking at Target
40,0.01702604,9.953961,9.405086,,,Looking at Target
41,0.01610615,9.859574,9.3262,,,Looking at Target
42,0.01688302,9.838351,9.306412,,,Looking at Target
43,0.01699839,9.967722,9.489743,TRUE,0.9123124,Looking at Target
44,0.0158184,10.02048,9.595238,,,Not looking at Target
45,0.01656695,10.71522,9.658015,,,Not looking at Target
46,0.01659289,10.76777,9.749615,,,Not looking at Target
47,0.01654066,10.81744,9.873586,,,Not looking at Target
48,0.05154301,10.58872,10.2159,,,Not looking at Target
49,0.01656592,10.65161,10.33883,,,Not looking at Target
50,0.01732061,10.7789,10.37485,,,Not looking at Target
51,0.01599419,10.81489,10.46806,,,Not looking at Target
52,0.01699703,10.84381,10.55374,,,Not looking at Target
53,0.01599419,10.84375,10.68305,,,Not looking at Target
54,0.01652803,10.77895,10.59868,,,Not looking at Target
55,0.01746431,10.68404,10.53601,,,Not looking at Target
56,0.01598941,10.6532,10.53909,,,Not looking at Target
57,0.01624678,10.67767,10.61484,,,Not looking at Target
58,0.01674478,10.75587,10.76637,,,Not looking at Target
59,0.01638945,10.81645,10.92959,,,Not looking at Target
60,0.01660006,10.77658,11.15263,,,Not looking at Target
61,0.0165335,15.26346,13.91117,,,Not looking at Target
62,0.01656558,22.38161,21.718,,,Not looking at Target
63,0.01688575,28.34799,29.20625,,,Not looking at Target
64,0.01624712,32.16536,33.38105,,,Not looking at Target
65,0.01673966,33.83722,35.49712,,,Not looking at Target
66,0.01639594,33.6726,35.19116,,,Not looking at Target
67,0.01659698,33.73914,34.94107,,,Not looking at Target
68,0.01653452,33.40094,34.9367,,,Not looking at Target
69,0.01746602,33.3627,34.91467,,,Not looking at Target
70,0.01598258,33.37267,34.81607,,,Not looking at Target
71,0.01625155,33.37304,34.72386,,,Not looking at Target
72,0.01673556,33.3549,34.59391,,,Not looking at Target
73,0.01639696,33.45631,34.47543,,,Not looking at Target
74,0.01659118,33.39687,34.39356,,,Not looking at Target
75,0.01654203,33.25803,34.14381,,,Not looking at Target
76,0.01656695,33.16248,33.95417,,,Not looking at Target
77,0.01687824,33.12576,33.86967,,,Not looking at Target
78,0.01625497,33.14385,33.87718,,,Not looking at Target
79,0.01673181,33.11097,33.81691,,,Not looking at Target
80,0.0164014,33.01995,33.47069,,,Looking at Target
81,0.01659289,32.89417,33.40888,,,Looking at Target
82,0.01699327,32.76132,33.53312,,,Looking at Target
83,0.01611502,32.73379,33.28714,,,Looking at Target
84,0.01687551,32.69007,33.12722,,,Looking at Target
85,0.01699805,32.61613,33.1518,,,Looking at Target
86,0.01598839,32.64151,33.2429,,,Looking at Target
87,0.01640379,32.78201,33.46985,,,Looking at Target
88,0.0165847,32.74077,33.44374,,,Looking at Target
89,0.01654886,32.47224,33.25138,,,Looking at Target
90,0.01743973,32.09307,32.98131,,,Looking at Target
91,0.01599521,31.95897,32.60017,,,Not looking at Target
92,0.0169943,31.95588,32.64163,,,Not looking at Target
93,0.01583718,32.45532,32.89022,,,Not looking at Target
94,0.01656729,32.84494,33.18919,,,Looking at Target
95,0.0165806,32.97809,33.30344,,,Looking at Target
96,0.01655159,32.96893,33.43225,,,Looking at Target
97,0.0174411,33.05182,34.73999,,,Looking at Target
98,0.01598907,33.70412,35.21898,,,Looking at Target
99,0.01626999,33.54793,35.01768,,,Looking at Target
100,0.01671952,33.4333,34.70839,,,Not looking at Target
101,0.01699566,33.36618,34.47517,,,Not looking at Target
102,0.01599863,33.51494,34.18214,,,Looking at Target
103,0.01655295,33.73382,34.09258,,,Looking at Target
104,0.0165666,33.64967,33.9711,,,Looking at Target
105,0.01686595,33.55096,33.88184,,,Looking at Target
106,0.01626725,33.50602,33.72538,,,Looking at Target
107,0.01656797,33.432,32.85508,,,Looking at Target
108,0.0165666,33.28008,32.72449,,,Looking at Target
109,0.0353686,32.98487,32.77203,,,Looking at Target
110,0.01656763,32.99927,32.8064,,,Looking at Target
111,0.01662122,33.02197,32.78706,,,Looking at Target
112,0.016996,33.00145,32.7254,,,Looking at Target
113,0.0160843,32.98673,32.71744,,,Looking at Target
114,0.01657889,32.90337,32.70798,,,Looking at Target
115,0.01655398,32.90256,32.69874,,,Looking at Target
116,0.0167598,32.84717,32.6309,TRUE,1.245833,Looking at Target
117,0.01637307,32.71683,32.53081,,,Not looking at Target
118,0.01662634,32.50407,32.67019,,,Not looking at Target
119,0.0169861,32.28865,32.69258,,,Not looking at Target
120,0.01608669,32.16247,32.60424,,,Not looking at Target
121,0.01690453,32.06211,32.4701,,,Not looking at Target
122,0.0169902,31.95501,32.36811,,,Not looking at Target
123,0.01599248,31.90394,32.30756,,,Not looking at Target
124,0.01637955,31.88935,32.2941,,,Not looking at Target
125,0.01661303,31.80074,32.2564,,,Not looking at Target
126,0.01652018,31.79434,32.07091,,,Not looking at Target
127,0.01656695,23.92346,21.92914,,,Not looking at Target
128,0.01689463,15.65177,16.43359,,,Not looking at Target
129,0.01623824,12.81321,11.98923,,,Not looking at Target
130,0.01675195,15.98587,12.73034,,,Not looking at Target
131,0.01700351,21.10616,17.36612,,,Not looking at Target
132,0.01594504,24.8469,21.89405,,,Not looking at Target
133,0.01703526,27.73423,25.65184,,,Not looking at Target
134,0.0160983,30.50375,28.31724,,,Not looking at Target
135,0.0165666,31.31235,28.3287,,,Not looking at Target
