ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block
0,0.02,eye closed,eye closed,False,0
1,0.02,eye closed,eye closed,False,0
2,0.1833368,eye closed,eye closed,False,0
3,0.02812454,eye closed,eye closed,False,0
4,0.01656766,eye closed,eye closed,False,0
5,0.01684926,eye closed,eye closed,False,0
6,0.01628503,eye closed,eye closed,False,0
7,0.01656527,eye closed,eye closed,False,0
8,0.017151,eye closed,eye closed,False,0
9,0.01601947,eye closed,eye closed,False,0
10,0.01653045,eye closed,eye closed,False,0
11,0.01656595,eye closed,eye closed,False,0
12,0.01687418,eye closed,eye closed,False,0
13,0.01625977,eye closed,eye closed,False,0
14,0.01671648,eye closed,eye closed,False,0
15,0.01699364,eye closed,eye closed,False,0
16,0.01600992,eye closed,eye closed,False,0
17,0.01698101,eye closed,eye closed,False,0
18,0.01613177,eye closed,eye closed,False,0
19,0.01684687,eye closed,eye closed,False,0
20,0.01628606,eye closed,eye closed,False,0
21,0.01670146,eye closed,eye closed,False,0
22,0.01699398,eye closed,eye closed,False,0
23,0.01602255,eye closed,eye closed,False,0
24,0.01696668,eye closed,eye closed,False,0
25,0.01614952,eye closed,eye closed,False,0
26,0.01685369,eye closed,eye closed,False,0
27,0.01627923,eye closed,eye closed,False,0
28,0.01670897,eye closed,eye closed,False,0
29,0.01642396,eye closed,eye closed,False,0
30,0.01657824,eye closed,eye closed,False,0
31,0.01655537,eye closed,eye closed,False,0
32,0.01743465,eye closed,eye closed,False,0
33,0.01598125,eye closed,eye closed,False,0
34,0.01628435,eye closed,eye closed,False,0
35,0.01670521,eye closed,eye closed,False,0
36,0.01642805,eye closed,eye closed,False,0
37,0.01656629,eye closed,eye closed,False,0
38,0.01698989,eye closed,eye closed,False,0
39,0.01614338,eye closed,eye closed,False,0
40,0.01687213,eye closed,eye closed,False,0
41,0.01626114,eye closed,eye closed,False,0
42,0.01670521,eye closed,eye closed,False,0
43,0.01700525,eye closed,eye closed,False,0
44,0.01599012,eye closed,eye closed,False,0
45,0.01656629,eye closed,eye closed,False,0
46,0.01656663,eye closed,eye closed,False,0
47,0.01656663,eye closed,eye closed,False,0
48,0.01656663,eye closed,eye closed,False,0
49,0.01656663,eye closed,eye closed,False,0
50,0.01712915,eye closed,eye closed,False,0
51,0.01601606,eye closed,eye closed,False,0
52,0.01655537,eye closed,eye closed,False,0
53,0.01656663,eye closed,eye closed,False,0
54,0.01684755,eye closed,eye closed,False,0
55,0.01628606,eye closed,eye closed,False,0
56,0.01671204,eye closed,eye closed,False,0
57,0.01700149,eye closed,eye closed,False,0
58,0.01599729,eye closed,eye closed,False,0
59,0.01699296,eye closed,eye closed,False,0
60,0.01612904,eye closed,eye closed,False,0
61,0.01685233,eye closed,eye closed,False,0
62,0.01628094,eye closed,eye closed,False,0
63,0.01671136,eye closed,eye closed,False,0
64,0.01642191,eye closed,eye closed,False,0
65,0.01656663,eye closed,eye closed,False,0
66,0.01698886,eye closed,eye closed,False,0
67,0.01614475,eye closed,eye closed,False,0
68,0.01685131,eye closed,eye closed,False,0
69,0.01628162,eye closed,eye closed,False,0
70,0.0167018,eye closed,eye closed,False,0
71,0.01643147,eye closed,eye closed,False,0
72,0.01656663,eye closed,eye closed,False,0
73,0.01656766,eye closed,eye closed,False,0
74,0.01656561,eye closed,eye closed,False,0
75,0.01683458,eye closed,eye closed,False,0
76,0.01630005,eye closed,eye closed,False,0
77,0.01668269,eye closed,eye closed,False,0
78,0.01645092,eye closed,eye closed,False,0
79,0.01656561,eye closed,eye closed,False,0
80,0.01656629,eye closed,eye closed,False,0
81,0.01739949,eye closed,eye closed,False,0
82,0.01573514,eye closed,eye closed,False,0
83,0.01724384,eye closed,eye closed,False,0
84,0.01600309,eye closed,eye closed,False,0
85,0.01645229,eye closed,eye closed,False,0
86,0.01656663,eye closed,eye closed,False,0
87,0.01696838,eye closed,eye closed,False,0
88,0.01616557,eye closed,eye closed,False,0
89,0.01656595,eye closed,eye closed,False,0
90,0.01656698,eye closed,eye closed,False,0
91,0.01666357,eye closed,eye closed,False,0
92,0.01646969,eye closed,eye closed,False,0
93,0.01656595,eye closed,eye closed,False,0
94,0.01695644,eye closed,eye closed,False,0
95,0.01617717,eye closed,eye closed,False,0
96,0.01680454,eye closed,eye closed,False,0
97,0.01632906,eye closed,eye closed,False,0
98,0.01666972,eye closed,eye closed,False,0
99,0.01646321,eye closed,eye closed,False,0
100,0.01656663,eye closed,eye closed,False,0
101,0.01656663,eye closed,eye closed,False,0
102,0.01737457,eye closed,eye closed,False,0
103,0.01602016,eye closed,eye closed,False,0
104,0.01697896,eye closed,eye closed,False,0
105,0.01600514,eye closed,eye closed,False,0
106,0.01645468,eye closed,eye closed,False,0
107,0.01656663,eye closed,eye closed,False,0
108,0.01695848,eye closed,eye closed,False,0
109,0.01617478,eye closed,eye closed,False,0
110,0.01682571,eye closed,eye closed,False,0
111,0.0163079,eye closed,eye closed,False,0
112,0.01666801,eye closed,eye closed,False,0
113,0.01646526,eye closed,eye closed,False,0
114,0.01656629,eye closed,eye closed,False,0
115,0.01696907,eye closed,eye closed,False,0
116,0.01616454,eye closed,eye closed,False,0
117,0.01682332,eye closed,eye closed,False,0
118,0.01630995,eye closed,eye closed,False,0
119,0.01667893,eye closed,eye closed,False,0
120,0.01645399,eye closed,eye closed,False,0
121,0.01656698,eye closed,eye closed,False,0
122,0.01656663,eye closed,eye closed,False,0
123,0.01656698,eye closed,eye closed,False,0
124,0.01682161,eye closed,eye closed,False,0
125,0.01631951,eye closed,eye closed,False,0
126,0.01667723,eye closed,eye closed,False,0
127,0.01701037,eye closed,eye closed,False,0
128,0.01600446,eye closed,eye closed,False,0
129,0.01656698,eye closed,eye closed,False,0
130,0.01656629,eye closed,eye closed,False,0
131,0.01678543,eye closed,eye closed,False,0
132,0.01699569,eye closed,eye closed,False,0
133,0.01600582,eye closed,eye closed,False,0
134,0.01698545,eye closed,eye closed,False,0
135,0.01606078,eye closed,eye closed,False,0
136,0.01694039,eye closed,eye closed,False,0
137,0.01698067,eye closed,eye closed,False,0
138,0.01603791,eye closed,eye closed,False,0
139,0.01630824,eye closed,eye closed,False,0
140,0.01663831,eye closed,eye closed,False,0
141,0.01649461,eye closed,eye closed,False,0
142,0.0175111,eye closed,eye closed,False,0
143,0.01599661,eye closed,eye closed,False,0
144,0.01619253,eye closed,eye closed,False,0
145,0.0167943,eye closed,eye closed,False,0
146,0.01633862,eye closed,eye closed,False,0
147,0.01665606,eye closed,eye closed,False,0
148,0.01647755,eye closed,eye closed,False,0
149,0.01656663,eye closed,eye closed,False,0
150,0.01693561,eye closed,eye closed,False,0
151,0.01619799,eye closed,eye closed,False,0
152,0.0167885,eye closed,eye closed,False,0
153,0.0169933,eye closed,eye closed,False,0
154,0.01599729,eye closed,eye closed,False,0
155,0.01699467,eye closed,eye closed,False,0
156,0.01605941,eye closed,eye closed,False,0
157,0.01692879,eye closed,eye closed,False,0
158,0.01620448,eye closed,eye closed,False,0
159,0.0167885,eye closed,eye closed,False,0
160,0.01634477,eye closed,eye closed,False,0
161,0.01664275,eye closed,eye closed,False,0
162,0.01649052,eye closed,eye closed,False,0
163,0.01656698,eye closed,eye closed,False,0
164,0.01692401,eye closed,eye closed,False,0
165,0.01700047,eye closed,eye closed,False,0
166,0.01597578,eye closed,eye closed,False,0
167,0.01636661,eye closed,eye closed,False,0
168,0.01662637,eye closed,eye closed,False,0
169,0.01699467,eye closed,eye closed,False,0
170,0.01607921,eye closed,eye closed,False,0
171,0.01691001,eye closed,eye closed,False,0
172,0.01622257,eye closed,eye closed,False,0
173,0.01677758,eye closed,eye closed,False,0
174,0.01635705,eye closed,eye closed,False,0
175,0.01656629,eye closed,eye closed,False,0
176,0.01706396,eye closed,eye closed,False,0
177,0.01606897,eye closed,eye closed,False,0
178,0.01656732,eye closed,eye closed,False,0
179,0.01656698,eye closed,eye closed,False,0
180,0.01676085,eye closed,eye closed,False,0
181,0.01700593,eye closed,eye closed,False,0
182,0.01599661,eye closed,eye closed,False,0
183,0.01650246,eye closed,eye closed,False,0
184,0.01656698,eye closed,eye closed,False,0
185,0.01691343,eye closed,eye closed,False,0
186,0.01699637,eye closed,eye closed,False,0
187,0.0159792,eye closed,eye closed,False,0
188,0.01637753,eye closed,eye closed,False,0
189,0.01662637,eye closed,eye closed,False,0
190,0.01698545,eye closed,eye closed,False,0
191,0.0160874,eye closed,eye closed,False,0
192,0.01690933,eye closed,eye closed,False,0
193,0.01699671,eye closed,eye closed,False,0
194,0.01599387,eye closed,eye closed,False,0
195,0.01698647,84.77685,eye closed,False,0
196,0.01599319,eye closed,eye closed,False,0
197,0.01703255,eye closed,eye closed,False,0
198,0.01605634,eye closed,eye closed,False,0
199,0.01656595,eye closed,eye closed,False,0
200,0.01656732,eye closed,eye closed,False,0
201,0.01677485,eye closed,eye closed,False,0
202,0.01696941,eye closed,eye closed,False,0
203,0.01599865,eye closed,eye closed,False,0
204,0.0170189,eye closed,eye closed,False,0
205,0.0160717,eye closed,eye closed,False,0
206,0.01689636,eye closed,eye closed,False,0
207,0.01623656,eye closed,eye closed,False,0
