ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
0,0.3333333,eye closed,eye closed,,,
1,0.3333333,eye closed,eye closed,,,
2,0.02,eye closed,eye closed,,,
3,0.05503565,eye closed,eye closed,,,
4,0.03893937,eye closed,eye closed,,,
5,0.0397654,eye closed,eye closed,,,
6,0.03746003,eye closed,eye closed,,,
7,0.04037707,57.05281,57.41686,,,
8,0.03868302,65.1718,63.73954,,,
9,0.03940392,67.07218,67.13374,,,
10,0.03763342,66.62274,66.98676,,,
11,0.04977023,66.24613,66.69854,,,
12,0.1074734,65.55578,65.79742,,,
13,0.04176322,64.94537,64.78632,,,
14,0.03787987,69.54165,67.76968,,,
15,0.04043065,75.94722,73.77504,,,
16,0.04152839,75.74053,73.29186,,,
17,0.04184241,75.47487,73.29863,,,
18,0.04868752,75.95291,73.53186,,,
19,0.04345283,78.2622,74.71421,,,
20,0.04126692,eye closed,eye closed,,,
21,0.04313368,eye closed,eye closed,,,
22,0.03887622,eye closed,eye closed,,,
23,0.04746043,eye closed,eye closed,,,
24,0.05111952,eye closed,eye closed,,,
25,0.05786974,eye closed,eye closed,,,
26,0.06284366,eye closed,eye closed,,,
27,0.0748511,eye closed,eye closed,,,
28,0.06933003,eye closed,eye closed,,,
29,0.08303526,54.1482,eye closed,,,
30,0.0862141,62.68602,62.40632,,,
31,0.09007971,eye closed,eye closed,,,
32,0.0904405,eye closed,eye closed,,,
33,0.08770745,80.67652,78.861,,,
34,0.08406404,82.67294,80.20829,,,
35,0.07912017,83.87859,81.34619,,,
36,0.07721996,85.60487,83.23184,,,
37,0.07774698,87.44566,84.88293,,,
38,0.09655652,90.48315,83.42864,,,
39,0.08159927,eye closed,eye closed,,,
40,0.07917853,93.45384,eye closed,,,
41,0.08767296,88.1909,86.78013,,,
42,0.09173962,87.42664,85.44785,,,
43,0.1023817,87.2676,85.09472,,,
44,0.08125589,87.54369,85.5456,,,
45,0.08074559,87.34892,84.94424,,,
46,0.08485287,96.4323,eye closed,,,
47,0.09360296,96.04219,92.36119,,,
48,0.08593148,96.41888,92.41244,,,
49,0.07961237,eye closed,eye closed,,,
50,0.08439206,eye closed,eye closed,,,
51,0.08256013,77.90925,76.42614,,,
52,0.0771906,78.49191,76.67003,,,
53,0.09141706,103.3256,98.15351,,,
54,0.07632498,102.6454,97.65871,,,
55,0.1092917,101.5927,97.16219,,,
56,0.08184298,100.2766,95.77771,,,
57,0.08587823,102.1671,98.77814,,,
58,0.09335481,109.1923,eye closed,,,
59,0.08475763,99.91116,eye closed,,,
60,0.08234645,84.01152,79.81989,,,
61,0.08485355,68.13782,64.91448,,,
62,0.08364796,66.40758,64.63046,,,
