ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
0,0.101766,eye closed,eye closed,,,Looking at Target
1,0.101766,eye closed,eye closed,,,Looking at Target
2,0.02,eye closed,eye closed,,,Looking at Target
3,0.01626524,eye closed,eye closed,,,Looking at Target
4,0.01672604,eye closed,eye closed,,,Looking at Target
5,0.01700833,eye closed,eye closed,,,Looking at Target
6,0.01599286,eye closed,eye closed,,,Looking at Target
7,0.01653899,eye closed,eye closed,,,Looking at Target
8,0.01656698,eye closed,eye closed,,,Looking at Target
9,0.0165663,eye closed,eye closed,,,Looking at Target
10,0.01656698,eye closed,eye closed,,,Looking at Target
11,0.01671409,eye closed,eye closed,,,Looking at Target
12,0.01641884,eye closed,eye closed,,,Looking at Target
13,0.01656869,eye closed,eye closed,,,Looking at Target
14,0.01699092,eye closed,eye closed,,,Looking at Target
15,0.016141,eye closed,eye closed,,,Looking at Target
16,0.01684858,eye closed,eye closed,,,Looking at Target
17,0.0162847,eye closed,71.16937,,,Looking at Target
18,0.01673219,eye closed,71.17037,,,Looking at Target
19,0.01640075,eye closed,eye closed,,,Looking at Target
20,0.01656766,eye closed,eye closed,,,Looking at Target
21,0.01700047,eye closed,71.17074,,,Looking at Target
22,0.01613246,eye closed,71.17056,,,Looking at Target
23,0.01684448,eye closed,71.16942,,,Looking at Target
24,0.01628845,eye closed,71.16846,,,Looking at Target
25,0.0167001,eye closed,eye closed,,,Looking at Target
26,0.01699365,eye closed,eye closed,TRUE,0.6043971,Looking at Target
27,0.05045972,eye closed,eye closed,,,Not looking at Target
28,0.01753705,eye closed,eye closed,,,Not looking at Target
29,0.01599081,eye closed,eye closed,,,Not looking at Target
30,0.01617342,eye closed,eye closed,,,Not looking at Target
31,0.01683015,eye closed,eye closed,,,Not looking at Target
32,0.01630347,eye closed,eye closed,,,Not looking at Target
33,0.01666324,eye closed,eye closed,,,Not looking at Target
34,0.01646936,eye closed,eye closed,,,Not looking at Target
35,0.01656732,eye closed,eye closed,,,Not looking at Target
36,0.01694415,eye closed,eye closed,,,Not looking at Target
37,0.01619015,eye closed,eye closed,,,Not looking at Target
38,0.01679977,eye closed,eye closed,,,Not looking at Target
39,0.01700901,eye closed,eye closed,,,Not looking at Target
40,0.01598228,eye closed,eye closed,,,Not looking at Target
41,0.01699228,eye closed,eye closed,,,Not looking at Target
42,0.01604986,eye closed,eye closed,,,Not looking at Target
43,0.0165663,eye closed,eye closed,,,Not looking at Target
44,0.01656698,eye closed,eye closed,,,Not looking at Target
45,0.01679465,eye closed,eye closed,,,Not looking at Target
46,0.01633692,eye closed,eye closed,,,Not looking at Target
47,0.016653,eye closed,eye closed,,,Not looking at Target
48,0.01699228,eye closed,eye closed,,,Not looking at Target
49,0.01605532,eye closed,eye closed,,,Not looking at Target
50,0.01694108,eye closed,eye closed,,,Not looking at Target
51,0.01619186,eye closed,eye closed,,,Not looking at Target
52,0.01656732,eye closed,eye closed,,,Not looking at Target
53,0.0165663,eye closed,eye closed,,,Not looking at Target
54,0.01664651,eye closed,eye closed,,,Not looking at Target
55,0.01701037,eye closed,eye closed,,,Not looking at Target
56,0.01604337,eye closed,eye closed,,,Not looking at Target
57,0.01693152,eye closed,eye closed,,,Not looking at Target
58,0.01702505,eye closed,eye closed,,,Not looking at Target
59,0.01596453,eye closed,eye closed,,,Not looking at Target
60,0.01634545,eye closed,eye closed,,,Not looking at Target
61,0.01665846,eye closed,eye closed,,,Not looking at Target
62,0.01698136,eye closed,eye closed,,,Not looking at Target
63,0.01606044,eye closed,eye closed,,,Not looking at Target
64,0.01693801,eye closed,eye closed,,,Not looking at Target
65,0.01619527,eye closed,eye closed,,,Not looking at Target
66,0.01678339,eye closed,eye closed,,,Not looking at Target
67,0.01635023,eye closed,eye closed,,,Not looking at Target
68,0.01664412,eye closed,eye closed,,,Not looking at Target
69,0.01648984,eye closed,eye closed,,,Not looking at Target
70,0.01656664,eye closed,eye closed,,,Not looking at Target
71,0.0169264,eye closed,eye closed,,,Not looking at Target
72,0.01699194,eye closed,eye closed,,,Not looking at Target
73,0.01599695,eye closed,eye closed,,,Not looking at Target
74,0.01635092,eye closed,eye closed,,,Not looking at Target
75,0.016639,eye closed,eye closed,,,Not looking at Target
76,0.01699194,eye closed,eye closed,,,Not looking at Target
77,0.01607034,eye closed,eye closed,,,Not looking at Target
78,0.0169247,eye closed,eye closed,,,Not looking at Target
79,0.01698955,eye closed,eye closed,,,Not looking at Target
80,0.0157843,eye closed,eye closed,,,Not looking at Target
81,0.01656766,eye closed,eye closed,,,Not looking at Target
82,0.01664241,eye closed,eye closed,,,Not looking at Target
83,0.01649052,eye closed,eye closed,,,Not looking at Target
84,0.01656562,eye closed,eye closed,,,Not looking at Target
85,0.01656732,eye closed,eye closed,,,Not looking at Target
86,0.0165663,eye closed,eye closed,,,Not looking at Target
87,0.01677246,eye closed,eye closed,,,Not looking at Target
88,0.0336347,eye closed,eye closed,,,Not looking at Target
89,0.01735307,eye closed,eye closed,,,Not looking at Target
90,0.01599217,eye closed,eye closed,,,Not looking at Target
91,0.01701174,eye closed,eye closed,,,Not looking at Target
92,0.01597613,eye closed,eye closed,,,Not looking at Target
93,0.01700423,eye closed,eye closed,,,Not looking at Target
94,0.01606419,eye closed,eye closed,,,Not looking at Target
