ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
0,0.3333333,eye closed,eye closed,,,
1,0.3333333,eye closed,eye closed,,,
2,0.02,eye closed,eye closed,,,
3,0.02904855,eye closed,eye closed,,,
4,0.02705925,eye closed,eye closed,,,
5,0.02710021,eye closed,eye closed,,,
6,0.02731901,eye closed,eye closed,,,
7,0.02667286,eye closed,eye closed,,,
8,0.02661415,eye closed,eye closed,,,
9,0.0262165,eye closed,eye closed,,,
10,0.02801089,eye closed,eye closed,,,
11,0.02254579,eye closed,eye closed,,,
12,0.02334485,eye closed,eye closed,,,
13,0.02295949,eye closed,eye closed,,,
14,0.02341415,eye closed,eye closed,,,
15,0.02291204,eye closed,eye closed,,,
16,0.02302605,eye closed,eye closed,,,
17,0.02293833,eye closed,eye closed,,,
18,0.02222528,eye closed,eye closed,,,
19,0.0227878,eye closed,eye closed,,,
20,0.023422,eye closed,eye closed,,,
21,0.02268779,eye closed,eye closed,,,
22,0.02247718,eye closed,eye closed,,,
23,0.02246285,eye closed,eye closed,,,
24,0.02310251,eye closed,eye closed,,,
25,0.0231677,eye closed,eye closed,,,
26,0.02263556,eye closed,eye closed,,,
27,0.02275093,eye closed,eye closed,,,
28,0.02257241,eye closed,eye closed,,,
29,0.02294003,eye closed,eye closed,,,
30,0.02321959,eye closed,eye closed,,,
31,0.02202048,eye closed,eye closed,,,
32,0.02369336,eye closed,eye closed,,,
33,0.0225318,eye closed,eye closed,,,
34,0.02263488,eye closed,eye closed,,,
35,0.02317897,eye closed,eye closed,,,
36,0.02299533,eye closed,eye closed,,,
37,0.02340664,eye closed,eye closed,,,
38,0.02438695,eye closed,eye closed,,,
39,0.0240736,eye closed,eye closed,,,
40,0.02367561,eye closed,eye closed,,,
41,0.02308885,eye closed,eye closed,,,
42,0.02374558,eye closed,eye closed,,,
43,0.02336841,eye closed,eye closed,,,
44,0.02299499,eye closed,eye closed,,,
45,0.02472282,eye closed,eye closed,,,
46,0.02318067,eye closed,eye closed,,,
47,0.02393741,eye closed,eye closed,,,
48,0.02355512,eye closed,eye closed,,,
49,0.0241644,eye closed,eye closed,,,
50,0.02376299,eye closed,eye closed,,,
51,0.02413812,eye closed,eye closed,,,
52,0.02311172,eye closed,eye closed,,,
53,0.02352201,eye closed,eye closed,,,
54,0.0251215,eye closed,eye closed,,,
55,0.02497848,eye closed,eye closed,,,
56,0.0249621,eye closed,eye closed,,,
57,0.02582874,eye closed,eye closed,,,
58,0.0251314,eye closed,eye closed,,,
59,0.02470882,eye closed,eye closed,,,
60,0.02372544,eye closed,eye closed,,,
61,0.02324007,eye closed,eye closed,,,
62,0.02375889,eye closed,eye closed,,,
