ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
0,0.0886849,2.401755,3.360686,,,Not looking at Target
1,0.0886849,43.94542,42.74008,,,Not looking at Target
2,0.02,43.85058,42.80734,,,Not looking at Target
3,0.01648845,43.80758,42.80129,,,Not looking at Target
4,0.0165673,43.75702,42.74795,,,Not looking at Target
5,0.01656593,43.81915,42.27558,,,Not looking at Target
6,0.01676459,44.18728,41.90976,,,Not looking at Target
7,0.01636898,52.99452,71.72227,,,Not looking at Target
8,0.01663079,eye closed,eye closed,,,Not looking at Target
9,0.01650279,eye closed,eye closed,,,Not looking at Target
10,0.01656593,eye closed,eye closed,,,Not looking at Target
11,0.01656798,eye closed,eye closed,,,Not looking at Target
12,0.0172032,eye closed,eye closed,,,Not looking at Target
13,0.01597645,eye closed,eye closed,,,Not looking at Target
14,0.01651883,eye closed,eye closed,,,Not looking at Target
15,0.01741312,eye closed,eye closed,,,Not looking at Target
16,0.01572045,eye closed,eye closed,,,Not looking at Target
17,0.01656627,eye closed,44.04109,,,Not looking at Target
18,0.0166342,52.95652,44.06796,,,Not looking at Target
19,0.01649903,47.32802,44.27446,,,Not looking at Target
20,0.01656627,47.3732,44.80905,,,Not looking at Target
21,0.01735783,47.3987,45.06493,,,Not looking at Target
22,0.01577643,47.4012,45.18594,,,Not looking at Target
23,0.01666936,47.34749,45.25461,,,Not looking at Target
24,0.01697417,47.42355,45.14268,,,Not looking at Target
25,0.01605666,47.44691,45.16977,,,Not looking at Target
26,0.01740391,47.21331,45.21841,,,Not looking at Target
27,0.01597679,46.36723,45.19462,,,Not looking at Target
28,0.01632017,46.38564,45.03237,,,Not looking at Target
29,0.01662362,46.35095,44.97652,,,Not looking at Target
30,0.01650961,46.37694,44.94201,,,Not looking at Target
31,0.01656593,46.37258,45.00005,,,Not looking at Target
32,0.01683422,46.37841,45.02051,,,Not looking at Target
33,0.01629935,46.41434,45.03255,,,Not looking at Target
34,0.01665843,46.47511,45.11603,,,Not looking at Target
35,0.01647548,46.53191,45.16763,,,Not looking at Target
36,0.01656593,46.57384,45.13103,,,Not looking at Target
37,0.01688098,46.63297,45.16102,,,Not looking at Target
38,0.01645398,46.67601,45.12729,,,Not looking at Target
39,0.01647719,46.71325,45.0935,,,Not looking at Target
40,0.01647138,46.7771,44.98544,,,Not looking at Target
41,0.01697144,47.06431,45.0391,,,Not looking at Target
42,0.01614541,47.87706,45.19757,,,Not looking at Target
43,0.01656559,50.86179,50.35023,,,Not looking at Target
44,0.01656662,54.89191,54.45121,,,Not looking at Target
45,0.01663318,55.79727,55.53295,,,Not looking at Target
46,0.01697144,55.84939,55.27158,,,Not looking at Target
47,0.01646012,55.9204,55.34085,,,Not looking at Target
48,0.01620139,55.95818,55.43565,,,Not looking at Target
49,0.01674582,56.03545,55.46603,,,Not looking at Target
50,0.01698714,56.11912,55.52692,,,Not looking at Target
51,0.01646251,56.18333,55.59732,,,Not looking at Target
52,0.01607236,56.25335,55.62303,,,Not looking at Target
53,0.01687348,56.32094,55.68492,,,Not looking at Target
54,0.01626044,56.38687,55.74908,,,Not looking at Target
55,0.01656593,56.47324,55.68232,,,Not looking at Target
56,0.0165673,56.54978,55.66859,,,Not looking at Target
57,0.01656627,56.62251,55.56226,,,Not looking at Target
58,0.01691136,56.67532,55.61607,,,Not looking at Target
59,0.01647104,55.94402,54.70832,,,Not looking at Target
60,0.01647207,52.19075,49.95041,,,Not looking at Target
61,0.01649869,49.40635,48.04187,,,Not looking at Target
62,0.01695028,49.40089,47.89234,,,Not looking at Target
63,0.01697178,49.42916,48.1471,,,Not looking at Target
64,0.01569076,49.40551,47.9167,,,Not looking at Target
65,0.01675435,49.39068,47.81361,,,Not looking at Target
66,0.01648811,49.3452,47.79966,,,Not looking at Target
67,0.01645705,49.32281,47.78136,,,Not looking at Target
68,0.01656696,49.24514,47.78403,,,Not looking at Target
69,0.01656662,49.24449,47.8177,,,Not looking at Target
70,0.01656696,49.19802,47.81528,,,Not looking at Target
71,0.01669598,49.2026,47.7091,,,Not looking at Target
72,0.0165714,49.26046,47.72528,,,Not looking at Target
73,0.01643247,49.21194,47.74601,,,Not looking at Target
74,0.01656627,49.11567,47.91208,,,Not looking at Target
75,0.01656627,49.47171,48.31182,,,Not looking at Target
76,0.01656798,50.07519,48.03335,,,Looking at Target
77,0.01663488,50.13125,48.07397,,,Looking at Target
78,0.01697417,50.181,48.18205,,,Looking at Target
79,0.01609046,50.21877,48.25396,,,Looking at Target
80,0.01656662,50.20129,48.32696,,,Looking at Target
81,0.01656627,50.2413,48.39555,,,Looking at Target
